### MNXref Version 18/02/2013 ###
#
#FILE:	reac_xref.tsv
#
#RESOURCE:	Rhea
#PREFIX:	rhea
#URL:	http://www.ebi.ac.uk/rhea/
#VERSION:	38
#LICENSE:	All data in Rhea is freely accessible and available for anyone to use. 
#	(http://www.ebi.ac.uk/rhea/about.xhtml) 
#
#RESOURCE:	KEGG
#PREFIX:	kegg
#URL:	http://www.kegg.jp
#VERSION:	11/02/2013
#LICENSE:	Academic users may freely use the KEGG website and may also freely link 
#	to the KEGG website. 
#	Non-academic users may use the KEGG website as end users for non-commercial purposes, 
#	but any other use requires a license agreement. 
#	Academic users who utilize KEGG for providing academic services are requested 
#	to obtain a KEGG FTP subscription for organizational use, which includes a proper 
#	license agreement. 
#	Non-academic users and Academic users intending to use KEGG for commercial purposes 
#	are requested to obtain a license agreement through KEGG's exclusive licensing 
#	agent, Pathway Solutions. 
#	(http://www.kegg.jp/kegg/legal.html) 
#
#RESOURCE:	MetaCyc
#PREFIX:	metacyc
#URL:	http://metacyc.org
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	UniPathway
#PREFIX:	upa
#URL:	http://www.unipathway.org
#VERSION:	UniPathway Release 2012_04
#LICENSE:	All data in UniPathway is freely accessible and available for anyone to 
#	use. 
#
#RESOURCE:	The Seed
#PREFIX:	seed
#URL:	http://www.theseed.org
#VERSION:	12/02/2013
#LICENSE:	All tools and datasets that make up the SEED are in the public domain. 
#	(http://www.theseed.org/wiki/DownloadPage) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#RESOURCE:	BioPath
#PREFIX:	biopath
#URL:	http://www.molecular-networks.com/biopath
#VERSION:	12/02/2013
#LICENSE:	Academic users may use BioPath without paying any license fee. 
#	Any users intending to use the BioPath database for commercial purposes have to 
#	obtain a license. 
#	(http://www.molecular-networks.com/node/2) 
#
#RESOURCE:	Reactome
#PREFIX:	reactome
#URL:	http://www.reactome.org
#VERSION:	12/02/2013
#LICENSE:	Reactome is a free and open-source project, and you are free to download 
#	Reactome software and data. 
#	 The contents of Reactome are copyright (c) 2003-2010 Cold Spring Harbor Laboratory 
#	(CSHL), Ontario Institute for Cancer Research (OICR) and the European Bioinformatics 
#	Institute (EBI). 
#	 The software and information contents are distributed under the terms of the 
#	Creative Commons Attribution 3.0 Unported License, which grants parties the non-exclusive 
#	right to use, distribute and create derivative works based on Reactome, provided 
#	that the software and information is correctly attributed to CSHL, OICR and EBI. 
#	(http://www.reactome.org/static_wordpress/license-agreement/) 
#
#RESOURCE:	BRENDA
#PREFIX:	brenda
#URL:	http://www.brenda-enzymes.org
#VERSION:	12/02/2013
#LICENSE:	Access to information contained in BRENDA is granted free of charge. 
#	Any inclusion of BRENDA components into other data bases, or redistribution of 
#	BRENDA requires a license 
#	(http://www.brenda-enzymes.org/information/copy.php4) 
#
#
#XREF	MNX_ID
bigg:2OXOADOXm	MNXR103
bigg:2OXOADPTm	MNXR104
bigg:2OXOADPtim	MNXR105
bigg:2PGK	MNXR106
bigg:2PLS	MNXR54908
bigg:3,4DHBZ1t(pp)	MNXR108
bigg:3,4DHBZt2	MNXR109
bigg:34DHCINMtex	MNXR110
bigg:34DHCINMtpp	MNXR110
bigg:34DHOXPEGOX	MNXR111
bigg:34DHOXPEGt	MNXR112
bigg:34DHPHAMT	MNXR54909
bigg:34DHPHEt	MNXR114
bigg:34DHPLACOX	MNXR115
bigg:34DHPLACOX(NADP)	MNXR116
bigg:34DHXMANDACOX	MNXR117
bigg:34DHXMANDACOX(NADP)	MNXR118
bigg:34HPLFM	MNXR119
bigg:34HPPOR	MNXR120
bigg:34HPPt2m	MNXR121
bigg:34HPPt2p	MNXR121
bigg:34dhpactex	MNXR122
bigg:35CGMPtn	MNXR123
bigg:3AIBTm	MNXR30457
bigg:3AIBt	MNXR125
bigg:3AIBtm	MNXR125
bigg:3AMPtex	MNXR126
bigg:3C3HMPtm	MNXR127
bigg:3C4MOPtm	MNXR128
bigg:3CMPtex	MNXR129
bigg:3DPHBH1	MNXR30458
bigg:3DPHBH2	MNXR30459
bigg:3DSPHR	MNXR132
bigg:3GMPtex	MNXR133
bigg:3HAACOAT100	MNXR47312
bigg:3HAACOAT120	MNXR47313
bigg:3HAACOAT121	MNXR47314
bigg:3HAACOAT140	MNXR47315
bigg:3HAACOAT141	MNXR47316
bigg:3HAACOAT60	MNXR47317
bigg:3HAACOAT80	MNXR47318
bigg:3HAD100	MNXR141
bigg:3HAD120	MNXR142
bigg:3HAD121	MNXR143
bigg:3HAD140	MNXR144
bigg:3HAD141	MNXR145
bigg:3HAD160	MNXR146
bigg:3HAD161	MNXR147
bigg:3HAD180	MNXR30472
bigg:3HAD181	MNXR149
bigg:3HAD40	MNXR150
bigg:3HAD60	MNXR151
bigg:3HAD80	MNXR152
bigg:3HAO	MNXR153
bigg:3HBCDm	MNXR154
bigg:3HBCOAHL	MNXR32754
bigg:3HBCOAHLm	MNXR32754
bigg:3HCINNMH	MNXR156
bigg:3HCO3_NAt	MNXR30478
bigg:3HKYNAKGAT	MNXR30479
bigg:3HLYTCL	MNXR159
bigg:3HPCOAHYD	MNXR160
bigg:3HPPD	MNXR161
bigg:3HPPPNH	MNXR162
bigg:3HXKYNDCL	MNXR30482
bigg:3HXKYNOXDA	MNXR54910
bigg:3KGK	MNXR165
bigg:3M2OBLOXRD	MNXR166
bigg:3M2OPLOXRD	MNXR167
bigg:3M4HDXPAC	MNXR54911
bigg:3MBZALDH	MNXR169
bigg:3MBZDH	MNXR170
bigg:3MCAT23DOX	MNXR54912
bigg:3MLDAt	MNXR30485
bigg:3MOBt2im	MNXR173
bigg:3MOBtm	MNXR174
bigg:3MOPt2im	MNXR175
bigg:3MOPtm	MNXR176
bigg:3MOX4HOXPGALDOX	MNXR177
bigg:3MOX4HOXPGALDOX(NADP)	MNXR178
bigg:3MOXTYROX	MNXR179
bigg:3NTD2pp	MNXR180
bigg:3NTD4pp	MNXR181
bigg:3NTD7l	MNXR182
bigg:3NTD7pp	MNXR182
bigg:3NTD9pp	MNXR183
bigg:3OADPCOAT	MNXR184
bigg:3OAR100	MNXR185
bigg:3OAR120	MNXR186
bigg:3OAR121	MNXR187
bigg:3OAR140	MNXR188
bigg:3OAR141	MNXR189
bigg:3OAR160	MNXR190
bigg:3OAR161	MNXR191
bigg:3OAR180	MNXR30495
bigg:3OAR181	MNXR193
bigg:3OAR40	MNXR194
bigg:3OAR60	MNXR195
bigg:3OAR80	MNXR196
bigg:3OAS100	MNXR36127
bigg:3OAS120	MNXR36128
bigg:3OAS121	MNXR47319
bigg:3OAS140	MNXR54913
bigg:3OAS141	MNXR47320
bigg:3OAS160	MNXR36129
bigg:3OAS161	MNXR47321
bigg:3OAS180	MNXR47322
bigg:3OAS181	MNXR47323
bigg:3OAS60	MNXR36125
bigg:3OAS80	MNXR36126
bigg:3OPHB_5tm	MNXR54914
bigg:3OXCOAT	MNXR209
bigg:3OXOADPt(ex)	MNXR210
bigg:3OXOADPt(pp)	MNXR211
bigg:3PEPTabcpp	MNXR50745
bigg:3PEPTtex	MNXR50746
bigg:3SALAASPm	MNXR214
bigg:3SALACBOXL	MNXR215
bigg:3SALAOX	MNXR216
bigg:3SALATAi	MNXR54915
bigg:3SALATAim	MNXR54915
bigg:3SPYRSP	MNXR54916
bigg:3SPYRSPm	MNXR54916
bigg:3UMPtex	MNXR219
bigg:41R1H2MAE12BOOX	MNXR54917
bigg:41R2A1H12BOOX	MNXR54918
bigg:42A12BOOX	MNXR222
bigg:42A12BOOXpp	MNXR222
bigg:4ABUTNtm	MNXR223
bigg:4ABUTtm	MNXR224
bigg:4ABZt2r	MNXR225
bigg:4ABZtm	MNXR226
bigg:4CMCOAS	MNXR227
bigg:4CMLCL-kt	MNXR228
bigg:4H2OGLTtm	MNXR229
bigg:4H2OGLTtp	MNXR229
bigg:4HBHYOX	MNXR230
bigg:4HBZCOAFm	MNXR18369
bigg:4HBZFm	MNXR232
bigg:4HBZtex	MNXR233
bigg:4HBZtm	MNXR233
bigg:4HDEBRISOQUINEte	MNXR234
bigg:4HGLSD	MNXR54919
bigg:4HGLSDm	MNXR54919
bigg:4HOXPACDOX(NADP)	MNXR236
bigg:4HOXPACDtex	MNXR237
bigg:4HPRO-LTtm	MNXR238
bigg:4HTHRS	MNXR239
bigg:4KFBPP	MNXR240
bigg:4M2OPLOXRD	MNXR241
bigg:4MBZALDH	MNXR242
bigg:4MBZDH	MNXR243
bigg:4MCAT23DOX	MNXR54920
bigg:4MOPt2im	MNXR245
bigg:4MTOLBUTAMIDEte	MNXR246
bigg:4NPHSFte	MNXR247
bigg:4NPHSULT	MNXR248
bigg:4NPHte	MNXR249
bigg:4OD	MNXR54921
bigg:4OD2	MNXR54922
bigg:4OT	MNXR54923
bigg:4OT2	MNXR30526
bigg:4PCP	MNXR50747
bigg:4PCPpp	MNXR50747
bigg:4PEPTabcpp	MNXR255
bigg:4PEPTtex	MNXR256
bigg:4PYRDX	MNXR257
bigg:5ADTSTSTERONEGLCte	MNXR258
bigg:5ADTSTSTERONEGLCtr	MNXR259
bigg:5ADTSTSTERONESULT	MNXR260
bigg:5ADTSTSTERONESte	MNXR261
bigg:5ADTSTSTERONEte	MNXR262
bigg:5ADTSTSTERONEtr	MNXR262
bigg:5AOPt2	MNXR263
bigg:5AOPtm	MNXR264
bigg:5DGLCNR	MNXR7181
bigg:5DGLCNt2rpp	MNXR54924
bigg:5DGLCNtex	MNXR54925
bigg:5DHFtl	MNXR268
bigg:5DOAN	MNXR269
bigg:5FTHFt2	MNXR54926
bigg:5HBZIDS	MNXR271
bigg:5HLTDL	MNXR272
bigg:5HOMEPRAZOLEte	MNXR273
bigg:5HOXINDACTO2OX	MNXR274
bigg:5HOXINDACTOX	MNXR275
bigg:5HOXINDACTOXm	MNXR275
bigg:5HOXINOXDA	MNXR276
bigg:5HTRPDOX	MNXR277
bigg:5HTRPVESSEC	MNXR278
bigg:5HXKYNDCL	MNXR279
bigg:5HXKYNOXDA	MNXR50748
bigg:5MTHFt	MNXR281
bigg:5MTHFt2	MNXR282
bigg:5MTHFtm	MNXR281
bigg:5THFtl	MNXR283
bigg:5THFtm	MNXR283
bigg:6DHFtl	MNXR284
bigg:6DHFtm	MNXR284
bigg:6HNACMO	MNXR285
bigg:6HTSTSTERONEte	MNXR286
bigg:6HTSTSTERONEtr	MNXR286
bigg:6PGALSZ	MNXR54927
bigg:6PGLter	MNXR288
bigg:6PHBG	MNXR54928
bigg:6THFtl	MNXR290
bigg:6THFtm	MNXR290
bigg:7DHCHSTEROLtr	MNXR291
bigg:7DHFtl	MNXR292
bigg:7DHFtm	MNXR292
bigg:7MHS	MNXR293
bigg:7MHTS	MNXR294
bigg:7THFtl	MNXR295
bigg:7THFtm	MNXR295
bigg:8AONNt2	MNXR296
bigg:A4GALTc	MNXR54929
bigg:A4GALTg	MNXR54929
bigg:A4GNT1g	MNXR54930
bigg:A4GNT2g	MNXR54931
bigg:A5PISO	MNXR300
bigg:AABTN	MNXR301
bigg:AACOAT	MNXR302
bigg:AACPS1	MNXR50749
bigg:AACPS10	MNXR50750
bigg:AACPS11	MNXR50751
bigg:AACPS2	MNXR50752
bigg:AACPS3	MNXR50753
bigg:AACPS4	MNXR50754
bigg:AACPS5	MNXR50755
bigg:AACPS6	MNXR50756
bigg:AACPS7	MNXR54932
bigg:AACPS8	MNXR50758
bigg:AACPS9	MNXR26664
bigg:AACTOOR	MNXR314
bigg:AACTtm	MNXR315
bigg:AADDGT	MNXR54933
bigg:AADSACYCL	MNXR317
bigg:AAMYL	MNXR54934
bigg:AAMYLpp	MNXR54934
bigg:AAPSAS	MNXR317
bigg:AASAD1	MNXR319
bigg:AASAD2	MNXR320
bigg:AASAD3	MNXR321
bigg:AASAD3m	MNXR321
bigg:AATA	MNXR30562
bigg:AATAi	MNXR30562
bigg:AAtr	MNXR323
bigg:AB6PGH	MNXR15930
bigg:ABO1g	MNXR54935
bigg:ABO2g	MNXR54936
bigg:ABO3g	MNXR54937
bigg:ABO4g	MNXR54938
bigg:ABO5g	MNXR54939
bigg:ABO6g	MNXR54940
bigg:ABO7g	MNXR54941
bigg:ABO8g	MNXR54942
bigg:ABO9g	MNXR54943
bigg:ABTA	MNXR30569
bigg:ABTAr	MNXR30569
bigg:ABTArm	MNXR30569
bigg:ABTD	MNXR30570
bigg:ABTt	MNXR336
bigg:ABTti	MNXR336
bigg:ABUTD	MNXR337
bigg:ABUTDm	MNXR337
bigg:ABUTt2	MNXR338
bigg:ABUTt2pp	MNXR338
bigg:ABUTt2r	MNXR338
bigg:ABUTt2rL	MNXR338
bigg:ABUTt4(2)r	MNXR339
bigg:ABUTtex	MNXR224
bigg:ACACCT	MNXR340
bigg:ACACT1	MNXR341
bigg:ACACT10m	MNXR342
bigg:ACACT1m	MNXR341
bigg:ACACT1r	MNXR341
bigg:ACACT1rm	MNXR341
bigg:ACACT1x	MNXR341
bigg:ACACT2r	MNXR343
bigg:ACACT3r	MNXR344
bigg:ACACT4p	MNXR345
bigg:ACACT4r	MNXR345
bigg:ACACT5p	MNXR346
bigg:ACACT5r	MNXR346
bigg:ACACT6p	MNXR347
bigg:ACACT6r	MNXR347
bigg:ACACT7p	MNXR348
bigg:ACACT7r	MNXR348
bigg:ACACT8p	MNXR54944
bigg:ACACT9p	MNXR54945
bigg:ACACt2	MNXR351
bigg:ACACt2m	MNXR351
bigg:ACACt2pp	MNXR351
bigg:ACACtex	MNXR352
bigg:ACACtx	MNXR352
bigg:ACALD	MNXR353
bigg:ACALDi	MNXR353
bigg:ACALDt	MNXR354
bigg:ACALDtex	MNXR354
bigg:ACALDtm	MNXR354
bigg:ACALDtpp	MNXR354
bigg:ACALDtx	MNXR354
bigg:ACANTHAT	MNXR355
bigg:ACBIPGT	MNXR356
bigg:ACCC	MNXR357
bigg:ACCOAC	MNXR47238
bigg:ACCOACm	MNXR47238
bigg:ACCOACr	MNXR47238
bigg:ACCOAL	MNXR359
bigg:ACCOAL2r	MNXR359
bigg:ACCOALm	MNXR360
bigg:ACCOAgt	MNXR361
bigg:ACCOAtn	MNXR361
bigg:ACCOAtr	MNXR361
bigg:ACChex	MNXR362
bigg:ACETONEt2	MNXR363
bigg:ACETONEt2m	MNXR363
bigg:ACGAGBSIDEtg	MNXR364
bigg:ACGAGBSIDEtl	MNXR364
bigg:ACGAL1PPpp	MNXR365
bigg:ACGAL1Ptex	MNXR366
bigg:ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	MNXR54946
bigg:ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	MNXR54946
bigg:ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	MNXR368
bigg:ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	MNXR368
bigg:ACGALK	MNXR369
bigg:ACGALK2	MNXR54947
bigg:ACGALtex	MNXR371
bigg:ACGALtlg	MNXR371
bigg:ACGALtly	MNXR371
bigg:ACGAM1PPpp	MNXR54948
bigg:ACGAM1Ptex	MNXR54949
bigg:ACGAM2E	MNXR54950
bigg:ACGAM6PS	MNXR375
bigg:ACGAM6PSi	MNXR375
bigg:ACGAMK	MNXR376
bigg:ACGAMPM	MNXR54951
bigg:ACGAMT	MNXR26665
bigg:ACGAMtly	MNXR379
bigg:ACGApts	MNXR380
bigg:ACGAptspp	MNXR380
bigg:ACGAtex	MNXR379
bigg:ACGBGBSIDEtg	MNXR381
bigg:ACGBGBSIDEtl	MNXR381
bigg:ACGK	MNXR382
bigg:ACGKm	MNXR382
bigg:ACGPID	MNXR48196
bigg:ACGS	MNXR30582
bigg:ACGSm	MNXR30582
bigg:ACHBS	MNXR385
bigg:ACHBSm	MNXR385
bigg:ACHEe	MNXR386
bigg:ACHVESSEC	MNXR387
bigg:ACHtn	MNXR388
bigg:ACITL	MNXR389
bigg:ACKr	MNXR390
bigg:ACLDC	MNXR391
bigg:ACLS	MNXR392
bigg:ACLSm	MNXR392
bigg:ACM6PH	MNXR393
bigg:ACMAMUT	MNXR54952
bigg:ACMANApts	MNXR54953
bigg:ACMANAptspp	MNXR54953
bigg:ACMANAtex	MNXR54954
bigg:ACMUMptspp	MNXR397
bigg:ACMUMtex	MNXR398
bigg:ACN13ACNGALGBSIDEte	MNXR399
bigg:ACN13ACNGALGBSIDEtg	MNXR399
bigg:ACN23ACNGALGBSIDEte	MNXR400
